stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
060170001332,S Marzahn (Berlin),52.543272,13.541524,,900000170001
060170002001,S Raoul-Wallenberg-Str. (Berlin),52.550749,13.548392,,900000170002
060170002002,S Raoul-Wallenberg-Str. (Berlin),52.550749,13.548392,,900000170002
060170003001,S Mehrower Allee (Berlin),52.557816,13.554392,,900000170003
060170003002,S Mehrower Allee (Berlin),52.557816,13.554392,,900000170003
060170004041,S Ahrensfelde Bhf (Berlin),52.571564,13.566118,,900000170004
060170004042,S Ahrensfelde Bhf (Berlin),52.571564,13.566118,,900000170004
060170005001,S Poelchaustr. (Berlin),52.534751,13.536008,,900000170005
060170005002,S Poelchaustr. (Berlin),52.534751,13.536008,,900000170005
060171001001,S Biesdorf (Berlin),52.513059,13.555035,,900000171001
060171001002,S Biesdorf (Berlin),52.513059,13.555035,,900000171001
060171002001,S Friedrichsfelde Ost (Berlin),52.513747,13.520043,,900000171002
060171002002,S Friedrichsfelde Ost (Berlin),52.513747,13.520043,,900000171002
060171003020,S Springpfuhl (Berlin),52.525806,13.536904,,900000171003
060171003021,S Springpfuhl (Berlin),52.525806,13.536904,,900000171003
060175001011,S+U Wuhletal (Berlin),52.512724,13.574536,,900000175001
060175001012,S+U Wuhletal (Berlin),52.512724,13.574536,,900000175001
060175002001,S Kaulsdorf (Berlin),52.512122,13.589030,,900000175002
060175002002,S Kaulsdorf (Berlin),52.512122,13.589030,,900000175002
060176001001,S Mahlsdorf (Berlin),52.512118,13.611230,,900000176001
060176001002,S Mahlsdorf (Berlin),52.512118,13.611230,,900000176001
060176001003,S Mahlsdorf (Berlin),52.512118,13.611230,,900000176001
060176001004,S Mahlsdorf (Berlin),52.512118,13.611230,,900000176001
060180001833,S Köpenick (Berlin),52.458692,13.579543,,900000180001
060180001834,S Köpenick (Berlin),52.458692,13.579543,,900000180001
060180002823,S Wuhlheide (Berlin),52.469058,13.553527,,900000180002
060180002824,S Wuhlheide (Berlin),52.469058,13.553527,,900000180002
060180003001,S Spindlersfeld (Berlin),52.445938,13.562701,,900000180003
060182001843,S Hirschgarten (Berlin),52.457903,13.601480,,900000182001
060182001844,S Hirschgarten (Berlin),52.457903,13.601480,,900000182001
060182002853,S Friedrichshagen (Berlin),52.457090,13.625462,,900000182002
060182002854,S Friedrichshagen (Berlin),52.457090,13.625462,,900000182002
060183001863,S Rahnsdorf (Berlin),52.451371,13.691655,,900000183001
060183001864,S Rahnsdorf (Berlin),52.451371,13.691655,,900000183001
060183002863,S Wilhelmshagen (Berlin),52.438571,13.721004,,900000183002
060183002864,S Wilhelmshagen (Berlin),52.438571,13.721004,,900000183002
060186001811,S Grünau (Berlin),52.412714,13.574018,,900000186001
060186001812,S Grünau (Berlin),52.412714,13.574018,,900000186001
060186001813,S Grünau (Berlin),52.412714,13.574018,,900000186001
060186001814,S Grünau (Berlin),52.412714,13.574018,,900000186001
060190001571,S Treptower Park (Berlin),52.493022,13.460887,,900000190001
060190001572,S Treptower Park (Berlin),52.493022,13.460887,,900000190001
060190001573,S Treptower Park (Berlin),52.493022,13.460887,,900000190001
060190001574,S Treptower Park (Berlin),52.493022,13.460887,,900000190001
