service_id,date,exception_type
1473,20170204,2
1473,20170205,2
1473,20170206,2
1473,20170207,2
1473,20170208,2
1473,20170209,2
1473,20170210,2
1473,20170211,2
1473,20170212,2
1473,20170213,2
1473,20170214,2
1473,20170215,2
1473,20170216,2
1473,20170217,2
1473,20170218,2
1473,20170219,2
1473,20170220,2
1474,20170119,1
1474,20170120,1
1474,20170121,1
1474,20170122,1
1474,20170123,1
1474,20170124,1
1474,20170125,1
1474,20170126,1
1474,20170127,1
1474,20170128,1
1474,20170129,1
1474,20170130,1
1474,20170131,1
1474,20170201,1
1474,20170202,1
1474,20170206,1
1474,20170207,1
1474,20170208,1
1474,20170209,1
1474,20170210,1
1474,20170211,1
1474,20170212,1
1474,20170213,1
1474,20170214,1
1474,20170215,1
1474,20170216,1
1474,20170217,1
1474,20170218,1
1474,20170219,1
1474,20170220,1
1475,20170203,2
1475,20170207,2
1475,20170208,2
1475,20170209,2
1475,20170213,2
1475,20170220,2
1475,20170414,2
1475,20170417,2
1475,20170501,2
1475,20170525,2
1475,20170605,2
1475,20171003,2
1475,20171031,2
1476,20170119,2
1476,20170123,2
1476,20170203,2
1476,20170204,2
1476,20170205,2
1477,20170207,1
1477,20170208,1
1477,20170209,1
1477,20170213,1
1477,20170220,1
1478,20170206,1
1478,20170207,1
1478,20170208,1
1479,20170206,2
1479,20170207,2
1479,20170208,2
1480,20170203,1
1480,20170206,2
1480,20170207,2
1480,20170208,2
1480,20170413,2
1480,20170414,1
1480,20170524,2
1480,20171002,2
1480,20171030,2
1481,20170119,2
1481,20170123,2
1481,20170206,2
1481,20170207,2
1481,20170208,2
1482,20170119,2
1482,20170123,2
1482,20170203,1
1482,20170206,2
1482,20170207,2
1482,20170208,2
1482,20170413,2
1482,20170414,1
1482,20170524,2
1482,20171002,2
1482,20171030,2
1483,20170119,2
1483,20170123,2
1483,20170205,2
1483,20170206,2
1483,20170207,2
1483,20170208,2
1484,20170119,2
1484,20170123,2
1484,20170206,2
1484,20170207,2
1484,20170208,2
1484,20170413,2
1484,20170414,1
1484,20170416,2
1484,20170430,2
1484,20170524,2
1484,20170604,2
1484,20171002,2
1484,20171030,2
1485,20170206,2
1485,20170207,2
1485,20170208,2
1485,20170413,2
1485,20170414,1
1485,20170416,2
1485,20170430,2
1485,20170524,2
1485,20170604,2
1485,20171002,2
1485,20171030,2
1486,20170119,2
1486,20170123,2
1486,20170203,1
1486,20170413,2
1486,20170414,1
1486,20170524,2
1486,20171002,2
1486,20171030,2
1487,20170119,2
1487,20170123,2
1487,20170203,2
1487,20170205,2
1487,20170206,2
1487,20170207,2
1487,20170208,2
1488,20170119,2
1488,20170123,2
1488,20170205,1
1488,20170206,2
1488,20170207,2
1488,20170208,2
1488,20170413,2
